date,original,predict
2018-07-15,185.42857142857142,353.26001974628434
2018-07-22,177.42857142857142,299.4034581257818
2018-07-29,184.71428571428572,270.4009654274937
2018-08-05,164.14285714285714,263.3876828781807
2018-08-12,207.42857142857142,259.39336719095513
2018-08-19,235.85714285714286,262.45841308658186
2018-08-26,234.14285714285714,260.31070274715654
2018-09-02,229.71428571428572,257.6131237730328
2018-09-09,250.85714285714286,270.5032038855322
2018-09-16,275.42857142857144,282.29576346741413
2018-09-23,253.14285714285714,289.8531799633992
2018-09-30,244.0,291.2996252873635
2018-10-07,229.71428571428572,283.6014576795298
2018-10-14,198.57142857142858,275.29486847610144
2018-10-21,240.71428571428572,276.8347254224326
2018-10-28,248.71428571428572,270.22142116317264
2018-11-04,248.0,257.9594164877747
2018-11-11,268.14285714285717,260.25036666458254
2018-11-18,280.42857142857144,270.11403177196433
2018-11-25,291.85714285714283,285.50308988682366
2018-12-02,305.0,304.44110029986325
2018-12-09,285.0,310.84729139816676
2018-12-16,275.85714285714283,322.0603189769078
2018-12-23,271.57142857142856,327.0672356668604
2018-12-30,264.2857142857143,334.20726221584147
2019-01-06,247.14285714285714,331.8202988864332
2019-01-13,258.42857142857144,330.78479529769004
2019-01-20,260.7142857142857,325.29366931950693
2019-01-27,281.0,332.64211990267546
2019-02-03,273.85714285714283,322.7776541297709
2019-02-10,275.2857142857143,326.7320866244221
2019-02-17,302.7142857142857,324.18342181854393
2019-02-24,279.14285714285717,332.91334810713005
2019-03-03,249.0,331.0678389994343
2019-03-10,238.28571428571428,329.239122159337
2019-03-17,199.57142857142858,317.6368704645148
2019-03-24,214.28571428571428,317.1304432577872
2019-03-31,182.28571428571428,300.72629352498205
2019-04-07,137.0,274.7570281992015
2019-04-14,141.42857142857142,248.6100496401821
2019-04-21,133.85714285714286,229.7010039983989
2019-04-28,143.28571428571428,213.398858268575
2019-05-05,185.14285714285714,198.48000767413058
2019-05-12,174.28571428571428,184.54572831977652
2019-05-19,217.57142857142858,200.7076726810187
2019-05-26,218.71428571428572,219.15763672082767
2019-06-02,240.28571428571428,231.7335236543241
2019-06-09,247.0,240.65986806791574
2019-06-16,229.14285714285714,262.1293399333072
2019-06-23,223.14285714285714,279.6279800476263
2019-06-30,206.28571428571428,289.07844606306963
2019-07-07,179.57142857142858,281.6637005734615
2019-07-14,204.71428571428572,282.95024673116666
2019-07-21,187.57142857142858,273.6911969954084
2019-07-28,176.71428571428572,265.8193945794157
2019-08-04,190.71428571428572,259.6225526101443
2019-08-11,165.14285714285714,249.3283149500826
2019-08-18,160.85714285714286,239.3800000573754
2019-08-25,174.14285714285714,240.3977414339823
2019-09-01,172.0,229.1332792743349
2019-09-08,205.71428571428572,234.84038495577425
2019-09-15,232.14285714285714,242.32949183829695
2019-09-22,230.0,246.18474819078307
2019-09-29,222.14285714285714,250.63838213118015
2019-10-06,226.85714285714286,258.69147932918224
2019-10-13,197.14285714285714,249.81391572519962
2019-10-20,194.28571428571428,260.3210571353798
2019-10-27,170.14285714285714,250.95914970410968
2019-11-03,175.14285714285714,251.612767842702
2019-11-10,178.57142857142858,244.8241360587108
2019-11-17,218.14285714285714,246.18004889771916
2019-11-24,216.57142857142858,244.7764965264392
2019-12-01,258.2857142857143,260.659577482208
2019-12-08,238.0,267.7666547575923
2019-12-15,243.0,286.93648642126504
2019-12-22,221.85714285714286,292.5905383978256
2019-12-29,229.0,291.3212648086044
2020-01-05,211.57142857142858,287.13662704128166
2020-01-12,236.28571428571428,289.3911317508124
2020-01-19,228.71428571428572,282.24290845207275
2020-01-26,241.57142857142858,270.4013742862621
2020-02-02,260.0,268.4890371130411
2020-02-09,263.57142857142856,269.15168030085687
2020-02-16,245.57142857142858,278.1469045519769
2020-02-23,255.57142857142858,290.66710659476985
2020-03-01,223.85714285714286,294.2619221067709
2020-03-08,185.14285714285714,290.8109701181462
2020-03-15,207.71428571428572,295.6359681142284
2020-03-22,183.14285714285714,287.0710461827829
2020-03-29,212.71428571428572,284.0690658234619
2020-04-05,214.71428571428572,277.8565258689525
2020-04-12,219.71428571428572,271.70003423983
2020-04-19,252.57142857142858,268.54455115416505
2020-04-26,278.0,282.6958447427502
2020-05-03,260.42857142857144,293.6983752477398
2020-05-10,252.14285714285714,300.6185207953469
2020-05-17,225.71428571428572,298.66227197132383
2020-05-24,238.85714285714286,298.24979478623453
2020-05-31,223.0,298.350791683476
2020-06-07,187.57142857142858,290.4240560104329
2020-06-14,166.28571428571428,277.54192517558965
2020-06-21,190.42857142857142,254.28423928754157
2020-06-28,203.14285714285714,254.33710067816097
2020-07-05,196.71428571428572,251.3546003658324
2020-07-12,181.14285714285714,240.2176612045238
2020-07-19,176.42857142857142,225.44496709607665
2020-07-26,210.0,230.75917664862303
2020-08-02,236.42857142857142,233.43099518905066
2020-08-09,211.85714285714286,241.06417319496788
2020-08-16,228.57142857142858,245.6528671828069
2020-08-23,224.42857142857142,242.05997696769668
2020-08-30,223.57142857142858,249.018596472994
2020-09-06,234.0,263.5254371981129
2020-09-13,242.57142857142858,265.2509758209097
2020-09-20,250.85714285714286,273.0805659173424
2020-09-27,253.42857142857142,283.532086626003
2020-10-04,212.0,267.5042002422527
2020-10-11,219.28571428571428,278.6810347767734
2020-10-18,244.28571428571428,281.33923941859695
2020-10-25,252.57142857142858,281.99907621774935
2020-11-01,208.71428571428572,280.8979791998011
2020-11-08,217.14285714285714,278.8487494172003
2020-11-15,225.0,265.15347265430023
2020-11-22,255.71428571428572,274.9365002689939
2020-11-29,268.57142857142856,276.1803121928316
2020-12-06,259.7142857142857,280.815651787083
2020-12-13,235.42857142857142,285.73636387125526
2020-12-20,254.42857142857142,291.92359582965634
2020-12-27,233.57142857142858,293.01550160965735
2021-01-03,227.71428571428572,299.46358089495874
2021-01-10,225.71428571428572,302.19023958757504
2021-01-17,229.85714285714286,292.49432268976454
2021-01-24,218.0,288.16844060129216
2021-01-31,207.42857142857142,278.32505024583554
2021-02-07,223.0,272.5594888988987
2021-02-14,199.85714285714286,267.24861486172534
2021-02-21,208.42857142857142,267.2896517016612
2021-02-28,209.0,265.1064808526808
2021-03-07,204.42857142857142,264.5630933688465
2021-03-14,199.85714285714286,264.56659203241327
2021-03-21,232.0,268.03767493051924
2021-03-28,225.28571428571428,265.62863347791534
2021-04-04,222.42857142857142,266.2658901346377
2021-04-11,225.42857142857142,273.56282978860634
2021-04-18,195.57142857142858,265.73665346481135
2021-04-25,183.0,262.76619370522883
2021-05-02,195.0,267.0804645482357
2021-05-09,164.71428571428572,257.0955363315275
2021-05-16,157.28571428571428,248.52723439693247
2021-05-23,194.28571428571428,244.34261321423313
2021-05-30,176.71428571428572,223.9473910775229
2021-06-06,216.28571428571428,233.14646494466533
2021-06-13,231.42857142857142,243.1087957411259
2021-06-20,252.85714285714286,246.10242152665796
2021-06-27,250.85714285714286,256.32617664620915
2021-07-04,262.42857142857144,276.07121815789907
2021-07-11,242.0,284.850313659483
2021-07-18,239.71428571428572,302.3866171552466
2021-07-25,201.85714285714286,289.9540800338047
2021-08-01,181.71428571428572,287.1830397600112
2021-08-08,169.28571428571428,278.4287703187325
2021-08-15,167.0,274.3207247549265
2021-08-22,183.14285714285714,267.9123256879606
2021-08-29,213.71428571428572,259.3348154668499
