date;original;predict
12-08-2020;463,14285714285717;574,6836195770644
13-08-2020;454,2857142857143;555,603113725022
14-08-2020;463,7142857142857;529,7644228277883
15-08-2020;486,0;518,3053946023031
16-08-2020;497,2857142857143;518,8052659846695
17-08-2020;522,2857142857143;536,6253278832438
18-08-2020;483,0;529,8535337941197
19-08-2020;512,4285714285714;535,9588163610802
20-08-2020;555,1428571428571;548,3825979368777
21-08-2020;529,0;570,5599148127648
22-08-2020;495,7142857142857;578,8480281502517
23-08-2020;520,5714285714286;572,0243756163549
24-08-2020;529,8571428571429;563,5254571655504
25-08-2020;531,7142857142857;570,3490990740005
26-08-2020;492,14285714285717;565,3230161173916
27-08-2020;518,1428571428571;564,6185044587804
28-08-2020;511,2857142857143;556,5035286771973
29-08-2020;548,4285714285714;570,3961690376325
30-08-2020;570,8571428571429;577,2961784910589
31-08-2020;542,7142857142857;577,5113559888806
01-09-2020;544,0;581,527098423794
02-09-2020;562,5714285714286;593,7495301279685
03-09-2020;558,4285714285714;602,8379301640108
04-09-2020;580,4285714285714;614,0277953136631
05-09-2020;597,1428571428571;619,0439612872417
06-09-2020;575,4285714285714;623,7376921519892
07-09-2020;650,5714285714286;638,91472176284
08-09-2020;692,5714285714286;663,1724535887272
09-09-2020;713,0;681,0443773538358
10-09-2020;644,1428571428571;686,8943520646137
11-09-2020;661,8571428571429;696,2252825576736
12-09-2020;609,8571428571429;699,6089633158188
13-09-2020;629,4285714285714;714,4231320999271
14-09-2020;573,8571428571429;703,9173146836222
15-09-2020;547,1428571428571;675,7811813855004
16-09-2020;561,4285714285714;657,8386515062118
17-09-2020;568,0;649,2323696939782
18-09-2020;504,85714285714283;629,4817065350154
19-09-2020;494,2857142857143;608,867664428179
20-09-2020;497,57142857142856;580,9049903751387
21-09-2020;490,57142857142856;578,2878252257468
22-09-2020;471,42857142857144;565,4736337202041
23-09-2020;415,14285714285717;544,5011252077994
24-09-2020;433,42857142857144;527,3792657476199
